Symbol,Description,Market Capitalization,Sector,Industry,Sub-Industry,Price,Index,Price Change YTD,Performance vs. S&P 500 YTD,Performance vs. Industry YTD,Total Return 1 Year
SYY,Sysco Corp,$37B (Mid),Consumer Staples,Consumer Staples Distribution & Retail,Food Distributors,73.24,S&P 500,-4.20%,-16.48%,-8.20%,-9.80%
BLK,BlackRock Inc,$102B (Large),Financials,Capital Markets,Asset Management & Custody Banks,679.38,S&P 500,-4.13%,-14.48%,-0.89%,6.63%
SJM,J M Smucker Co,$16B (Mid),Consumer Staples,Food Products,Packaged Foods & Meats,152.02,S&P 500,-4.06%,-15.37%,-1.81%,25.50%
TMO,Thermo Fisher Scientific Inc,$204B (Large),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,528.31,S&P 500,-4.06%,-16.00%,1.98%,-4.74%
TMUS,T-Mobile US Inc,$161B (Large),Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,134.34,S&P 500,-4.04%,-16.65%,-0.12%,-0.16%
RHI,Robert Half International Inc,$8B (Mid),Industrials,Professional Services,Human Resource & Employment Services,70.91,S&P 500,-3.96%,-14.54%,-7.23%,-16.48%
RTX,Raytheon Technologies Corp,$142B (Large),Industrials,Aerospace & Defense,Aerospace & Defense,96.92,S&P 500,-3.96%,-13.67%,-2.80%,4.63%
VICI,VICI Properties Inc,$31B (Mid),Real Estate,Specialized REITs,Other Specialized REITs,31.12,S&P 500,-3.95%,-15.47%,--,7.32%
DTE,DTE Energy Co,$23B (Mid),Utilities,Multi-Utilities,Multi-Utilities,112.94,S&P 500,-3.91%,-14.98%,1.75%,-11.37%
CHTR,Charter Communications Inc,$49B (Large),Communication Services,Media,Cable & Satellite,325.91,S&P 500,-3.89%,-14.73%,-12.58%,-34.21%
WTW,Willis Towers Watson PLC,$25B (Mid),Financials,Insurance,Insurance Brokers,235.40,S&P 500,-3.75%,-16.32%,-0.66%,14.64%
PYPL,PayPal Holdings Inc,$77B (Large),Financials,Financial Services,Transaction & Payment Processing Services,68.57,S&P 500,-3.72%,-15.79%,-7.61%,-16.86%
EMN,Eastman Chemical Co,$9B (Mid),Materials,Chemicals,Specialty Chemicals,78.42,S&P 500,-3.71%,-14.25%,-6.39%,-25.15%
PAYX,Paychex Inc,$40B (Mid),Industrials,Professional Services,Human Resource & Employment Services,111.27,S&P 500,-3.71%,-14.11%,-6.98%,-6.41%
MHK,Mohawk Industries Inc,$6B (Small),Consumer Discretionary,Household Durables,Home Furnishings,98.52,S&P 500,-3.62%,-13.38%,-32.48%,-29.43%
BEN,Franklin Resources Inc,$13B (Mid),Financials,Capital Markets,Asset Management & Custody Banks,25.46,S&P 500,-3.49%,-12.89%,-0.25%,0.51%
ED,Consolidated Edison Inc,$32B (Mid),Utilities,Multi-Utilities,Multi-Utilities,92.12,S&P 500,-3.35%,-14.26%,2.31%,-3.39%
CPT,Camden Property Trust,$12B (Mid),Real Estate,Residential REITs,Multi-Family Residential REITs,108.28,S&P 500,-3.22%,-12.78%,--,-22.07%
TRGP,Targa Resources Corp,$16B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,71.18,S&P 500,-3.16%,-13.91%,7.27%,-3.09%
J,Jacobs Solutions Inc,$15B (Mid),Industrials,Professional Services,Research & Consulting Services,116.38,S&P 500,-3.07%,-15.78%,-6.34%,-15.49%
DE,Deere & Co,$122B (Large),Industrials,Machinery,Agricultural & Farm Machinery,415.69,S&P 500,-3.05%,-14.55%,-10.19%,19.57%
GIS,General Mills Inc,$48B (Large),Consumer Staples,Food Products,Packaged Foods & Meats,81.30,S&P 500,-3.04%,-14.64%,-0.79%,20.79%
CNP,CenterPoint Energy Inc,$18B (Mid),Utilities,Multi-Utilities,Multi-Utilities,29.11,S&P 500,-2.93%,-13.70%,2.72%,-6.92%
ULTA,Ulta Beauty Inc,$23B (Mid),Consumer Discretionary,Specialty Retail,Other Specialty Retail,455.71,S&P 500,-2.85%,-15.59%,-2.87%,11.88%
KO,Coca-Cola Co,$267B (Large),Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,61.85,S&P 500,-2.77%,-15.07%,-4.89%,1.74%
EXR,Extra Space Storage Inc,$19B (Mid),Real Estate,Specialized REITs,Self-Storage REITs,143.21,S&P 500,-2.70%,-12.75%,--,-15.88%
CTRA,Coterra Energy Inc,$18B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,23.92,S&P 500,-2.65%,-12.59%,7.78%,-26.52%
AWK,American Water Works Company Inc,$29B (Mid),Utilities,Water Utilities,Water Utilities,148.50,S&P 500,-2.57%,-14.23%,3.78%,-0.48%
TFX,Teleflex Inc,$11B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Equipment,243.43,S&P 500,-2.48%,-13.72%,-14.45%,-13.45%
TSCO,Tractor Supply Co,$24B (Mid),Consumer Discretionary,Specialty Retail,Other Specialty Retail,219.64,S&P 500,-2.37%,-13.82%,-2.39%,17.30%
TROW,T Rowe Price Group Inc,$24B (Mid),Financials,Capital Markets,Asset Management & Custody Banks,106.56,S&P 500,-2.29%,-11.10%,0.95%,-9.20%
UNP,Union Pacific Corp,$124B (Large),Industrials,Ground Transportation,Rail Transportation,203.37,S&P 500,-1.79%,-13.51%,-4.72%,-5.76%
CTLT,Catalent Inc,$8B (Mid),Health Care,Pharmaceuticals,Pharmaceuticals,44.21,S&P 500,-1.78%,-15.02%,-0.04%,-57.69%
CTVA,Corteva Inc,$41B (Mid),Materials,Chemicals,Fertilizers & Agricultural Chemicals,57.89,S&P 500,-1.51%,-12.37%,-4.20%,-6.20%
BBY,Best Buy Co Inc,$17B (Mid),Consumer Discretionary,Specialty Retail,Computer & Electronics Retail,79.05,S&P 500,-1.45%,-13.36%,-1.46%,4.72%
UPS,United Parcel Service Inc,$147B (Large),Industrials,Air Freight & Logistics,Air Freight & Logistics,171.38,S&P 500,-1.42%,-12.16%,-9.17%,-1.51%
ABT,Abbott Laboratories,$188B (Large),Health Care,Health Care Equipment & Supplies,Health Care Equipment,108.25,S&P 500,-1.40%,-14.89%,-13.37%,-4.16%
VTR,Ventas Inc,$18B (Mid),Real Estate,Health Care REITs,Health Care REITs,44.49,S&P 500,-1.24%,-12.23%,--,-18.06%
HAS,Hasbro Inc,$8B (Mid),Consumer Discretionary,Leisure Products,Leisure Products,60.27,S&P 500,-1.21%,-13.22%,-4.76%,-29.63%
DD,Dupont De Nemours Inc,$31B (Mid),Materials,Chemicals,Specialty Chemicals,67.84,S&P 500,-1.15%,-12.32%,-3.84%,2.72%
PAYC,Paycom Software Inc,$18B (Mid),Industrials,Professional Services,Human Resource & Employment Services,306.75,S&P 500,-1.15%,-11.45%,-4.42%,8.85%
AZO,Autozone Inc,$44B (Large),Consumer Discretionary,Specialty Retail,Automotive Retail,2438.63,S&P 500,-1.12%,-12.76%,-1.13%,19.83%
PG,Procter & Gamble Co,$353B (Large),Consumer Staples,Household Products,Household Products,149.95,S&P 500,-1.06%,-13.28%,-1.59%,5.68%
MTCH,Match Group Inc,$11B (Mid),Communication Services,Interactive Media & Services,Interactive Media & Services,41.06,S&P 500,-1.04%,-13.07%,-60.26%,-48.18%
PODD,Insulet Corp,$20B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Equipment,291.41,S&P 500,-1.01%,-13.64%,-12.98%,40.52%
CL,Colgate-Palmolive Co,$65B (Large),Consumer Staples,Household Products,Household Products,78.00,S&P 500,-1.00%,-13.36%,-1.53%,2.30%
NI,NiSource Inc,$11B (Mid),Utilities,Multi-Utilities,Multi-Utilities,27.15,S&P 500,-0.98%,-11.80%,4.67%,-10.25%
CBRE,CBRE Group Inc,$24B (Mid),Real Estate,Real Estate Management & Development,Real Estate Services,76.24,S&P 500,-0.94%,-12.33%,--,-4.21%
CAT,Caterpillar Inc,$122B (Large),Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,237.34,S&P 500,-0.93%,-11.35%,-8.06%,11.71%
MS,Morgan Stanley,$141B (Large),Financials,Capital Markets,Investment Banking & Brokerage,84.50,S&P 500,-0.61%,-10.69%,2.63%,3.03%
WFC,Wells Fargo & Co,$154B (Large),Financials,Banks,Diversified Banks,41.06,S&P 500,-0.56%,-11.29%,13.79%,-6.55%
SYF,Synchrony Financial,$14B (Mid),Financials,Consumer Finance,Consumer Finance,32.68,S&P 500,-0.55%,-12.19%,-13.34%,-6.36%
NDSN,Nordson Corp,$13B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,236.52,S&P 500,-0.50%,-12.56%,-7.64%,11.06%
WY,Weyerhaeuser Co,$23B (Mid),Real Estate,Specialized REITs,Timber REITs,30.85,S&P 500,-0.48%,-9.97%,--,-15.82%
TDY,Teledyne Technologies Inc,$19B (Mid),Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,398.92,S&P 500,-0.25%,-11.61%,-8.85%,0.02%
LH,Laboratory Corporation of America Holdings,$21B (Mid),Health Care,Health Care Providers & Services,Health Care Services,234.91,S&P 500,-0.24%,-12.99%,7.45%,-3.27%
HSIC,Henry Schein Inc,$10B (Mid),Health Care,Health Care Providers & Services,Health Care Distributors,79.71,S&P 500,-0.20%,-12.26%,7.49%,-5.42%
L,Loews Corp,$13B (Mid),Financials,Insurance,Property & Casualty Insurance,58.22,S&P 500,-0.19%,-12.20%,2.90%,-9.70%
SO,Southern Co,$78B (Large),Utilities,Electric Utilities,Electric Utilities,71.30,S&P 500,-0.15%,-11.77%,6.42%,-1.86%
TRMB,Trimble Inc,$13B (Mid),Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,50.51,S&P 500,-0.10%,-11.86%,-8.70%,-24.88%
CDW,CDW Corp,$24B (Mid),Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors,178.53,S&P 500,-0.03%,-12.97%,-8.63%,5.56%
ILMN,Illumina Inc,$32B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,202.15,S&P 500,-0.02%,-13.07%,6.02%,-14.05%
BF/B,Brown-Forman Corp,$20B (Mid),Consumer Staples,Beverages,Distillers & Vintners,65.84,S&P 500,0.24%,-11.20%,-1.88%,1.98%
GPN,Global Payments Inc,$26B (Mid),Financials,Financial Services,Transaction & Payment Processing Services,99.62,S&P 500,0.30%,-11.75%,-3.58%,-20.98%
MSCI,MSCI Inc,$37B (Mid),Financials,Capital Markets,Financial Exchanges & Data,467.20,S&P 500,0.44%,-10.26%,3.68%,9.42%
CHRW,CH Robinson Worldwide Inc,$11B (Mid),Industrials,Air Freight & Logistics,Air Freight & Logistics,92.04,S&P 500,0.52%,-10.27%,-7.23%,-13.06%
CDAY,Ceridian HCM Holding Inc,$10B (Mid),Industrials,Professional Services,Human Resource & Employment Services,64.61,S&P 500,0.72%,-9.91%,-2.55%,20.12%
FDS,Factset Research Systems Inc,$15B (Mid),Financials,Capital Markets,Financial Exchanges & Data,404.15,S&P 500,0.73%,-7.20%,3.97%,8.83%
WHR,Whirlpool Corp,$8B (Mid),Consumer Discretionary,Household Durables,Household Appliances,142.59,S&P 500,0.80%,-10.06%,-28.06%,-17.07%
FFIV,F5 Inc,$9B (Mid),Information Technology,Communications Equipment,Communications Equipment,144.86,S&P 500,0.94%,-10.74%,-6.70%,-10.52%
PSA,Public Storage,$50B (Large),Real Estate,Specialized REITs,Self-Storage REITs,283.30,S&P 500,1.11%,-9.68%,--,-7.18%
DXC,DXC Technology Co,$6B (Small),Information Technology,IT Services,IT Consulting & Other Services,26.81,S&P 500,1.17%,-10.06%,-9.41%,-22.45%
JBHT,J B Hunt Transport Services Inc,$18B (Mid),Industrials,Ground Transportation,Cargo Ground Transportation,176.58,S&P 500,1.27%,-11.04%,-1.66%,3.06%
KMB,Kimberly-Clark Corp,$46B (Large),Consumer Staples,Household Products,Household Products,137.49,S&P 500,1.28%,-10.50%,0.76%,9.44%
PEG,Public Service Enterprise Group Inc,$31B (Mid),Utilities,Multi-Utilities,Multi-Utilities,62.11,S&P 500,1.37%,-10.17%,7.02%,-4.71%
BDX,Becton Dickinson and Co,$73B (Large),Health Care,Health Care Equipment & Supplies,Health Care Equipment,258.07,S&P 500,1.48%,-11.01%,-10.49%,4.51%
PGR,Progressive Corp,$77B (Large),Financials,Insurance,Property & Casualty Insurance,131.76,S&P 500,1.58%,-11.45%,4.67%,11.57%
SBUX,Starbucks Corp,$116B (Large),Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,100.85,S&P 500,1.66%,-9.69%,-15.73%,35.07%
XYL,Xylem Inc,$27B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,112.43,S&P 500,1.68%,-9.70%,-5.46%,35.92%
LUV,Southwest Airlines Co,$20B (Mid),Industrials,Passenger Airlines,Passenger Airlines,34.28,S&P 500,1.81%,-10.28%,-22.74%,-21.12%
DIS,Walt Disney Co,$162B (Large),Communication Services,Entertainment,Movies & Entertainment,88.49,S&P 500,1.85%,-10.27%,-17.14%,-18.96%
DLTR,Dollar Tree Inc,$32B (Mid),Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,144.07,S&P 500,1.86%,-11.23%,-2.14%,-10.52%
DOW,Dow Inc,$36B (Mid),Materials,Chemicals,Commodity Chemicals,51.39,S&P 500,1.98%,-9.45%,-0.70%,-20.41%
JCI,Johnson Controls International PLC,$45B (Large),Industrials,Building Products,Building Products,65.34,S&P 500,2.09%,-8.64%,-16.60%,24.86%
BKR,Baker Hughes Co,$31B (Mid),Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,30.15,S&P 500,2.10%,-9.19%,14.92%,-17.19%
LKQ,LKQ Corp,$15B (Mid),Consumer Discretionary,Distributors,Distributors,54.60,S&P 500,2.23%,-9.47%,1.27%,10.15%
PKG,Packaging Corp of America,$12B (Mid),Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,130.81,S&P 500,2.27%,-9.47%,--,-12.82%
TJX,TJX Companies Inc,$94B (Large),Consumer Discretionary,Specialty Retail,Apparel Retail,81.48,S&P 500,2.36%,-10.65%,2.34%,32.58%
MRK,Merck & Co Inc,$289B (Large),Health Care,Pharmaceuticals,Pharmaceuticals,113.72,S&P 500,2.50%,-11.89%,4.24%,29.40%
EA,Electronic Arts Inc,$34B (Mid),Communication Services,Entertainment,Interactive Home Entertainment,125.45,S&P 500,2.68%,-10.33%,-16.31%,-9.41%
HST,Host Hotels & Resorts Inc,$12B (Mid),Real Estate,Hotel & Resort REITs,Hotel & Resort REITs,16.50,S&P 500,2.80%,-8.82%,--,-16.02%
IT,Gartner Inc,$27B (Mid),Information Technology,IT Services,IT Consulting & Other Services,345.95,S&P 500,2.92%,-8.31%,-7.66%,32.62%
AMP,Ameriprise Financial Inc,$33B (Mid),Financials,Capital Markets,Asset Management & Custody Banks,320.63,S&P 500,2.97%,-9.25%,6.21%,20.60%
WAB,Westinghouse Air Brake Technologies Corp,$18B (Mid),Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,102.84,S&P 500,3.04%,-8.87%,-4.10%,11.06%
C,Citigroup Inc,$91B (Large),Financials,Banks,Diversified Banks,46.63,S&P 500,3.10%,-7.81%,17.45%,-7.17%
KR,Kroger Co,$33B (Mid),Consumer Staples,Consumer Staples Distribution & Retail,Food Retail,46.07,S&P 500,3.34%,-9.88%,-0.66%,-8.27%
ATO,Atmos Energy Corp,$17B (Mid),Utilities,Gas Utilities,Gas Utilities,115.95,S&P 500,3.46%,-7.73%,10.16%,2.09%
NWS,News Corp,-- ,Communication Services,Media,Publishing,19.08,S&P 500,3.47%,--,-5.21%,11.10%
NWSA,News Corp,$7B (Small),Communication Services,Media,Publishing,18.84,S&P 500,3.52%,-6.88%,-5.17%,10.81%
CEG,Constellation Energy Corp,$29B (Mid),Utilities,Electric Utilities,Electric Utilities,89.25,S&P 500,3.53%,-7.68%,10.10%,41.69%
PEP,PepsiCo Inc,$258B (Large),Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages,187.35,S&P 500,3.70%,-9.73%,1.58%,16.37%
SHW,Sherwin-Williams Co,$64B (Large),Materials,Chemicals,Specialty Chemicals,246.28,S&P 500,3.77%,-8.37%,1.09%,-6.20%
RMD,Resmed Inc,$32B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Equipment,216.52,S&P 500,4.03%,-8.41%,-7.94%,7.65%
JPM,JPMorgan Chase & Co,$408B (Large),Financials,Banks,Diversified Banks,139.58,S&P 500,4.09%,-6.66%,18.44%,11.04%
ALB,Albemarle Corp,$27B (Mid),Materials,Chemicals,Specialty Chemicals,226.00,S&P 500,4.21%,-6.57%,1.53%,-5.12%
IQV,IQVIA Holdings Inc,$40B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,213.62,S&P 500,4.26%,-8.22%,10.31%,1.67%
TXN,Texas Instruments Inc,$157B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,172.63,S&P 500,4.48%,-9.25%,-58.67%,1.91%
ZBRA,Zebra Technologies Corp,$14B (Mid),Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,267.91,S&P 500,4.49%,-7.09%,-4.12%,-19.92%
FCX,Freeport-McMoRan Inc,$57B (Large),Materials,Metals & Mining,Copper,39.72,S&P 500,4.53%,-7.96%,0.17%,2.01%
AKAM,Akamai Technologies Inc,$13B (Mid),Information Technology,IT Services,Internet Services & Infrastructure,88.26,S&P 500,4.70%,-8.12%,-5.89%,-12.73%
CE,Celanese Corp,$12B (Mid),Materials,Chemicals,Specialty Chemicals,107.13,S&P 500,4.78%,-6.65%,2.10%,-29.18%
STLD,Steel Dynamics Inc,$17B (Mid),Materials,Metals & Mining,Steel,102.42,S&P 500,4.83%,-8.08%,0.48%,24.07%
AIZ,Assurant Inc,$7B (Small),Financials,Insurance,Multi-line Insurance,131.28,S&P 500,4.97%,-7.64%,8.06%,-24.80%
HPE,Hewlett Packard Enterprise Co,$22B (Mid),Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",16.78,S&P 500,5.14%,-7.31%,--,10.73%
DLR,Digital Realty Trust Inc,$31B (Mid),Real Estate,Specialized REITs,Data Center REITs,105.47,S&P 500,5.19%,-8.48%,--,-18.99%
PLD,Prologis Inc,$110B (Large),Real Estate,Industrial REITs,Industrial REITs,118.66,S&P 500,5.26%,-5.84%,--,-2.40%
DOV,Dover Corp,$20B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,142.61,S&P 500,5.32%,-6.31%,-1.82%,8.99%
EBAY,eBay Inc,$23B (Mid),Consumer Discretionary,Broadline Retail,Broadline Retail,43.87,S&P 500,5.79%,-6.48%,-20.04%,-4.58%
STZ,Constellation Brands Inc,$45B (Large),Consumer Staples,Beverages,Distillers & Vintners,245.27,S&P 500,5.83%,-6.54%,3.71%,1.87%
APTV,Aptiv PLC,$28B (Mid),Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,98.60,S&P 500,5.87%,-5.78%,-2.83%,-8.30%
QCOM,Qualcomm Inc,$130B (Large),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,116.40,S&P 500,5.88%,-7.40%,-57.28%,-14.77%
BIIB,Biogen Inc,$43B (Large),Health Care,Biotechnology,Biotechnology,293.95,S&P 500,6.15%,-6.51%,15.17%,46.98%
ESS,Essex Property Trust Inc,$14B (Mid),Real Estate,Residential REITs,Multi-Family Residential REITs,225.00,S&P 500,6.17%,-3.44%,--,-17.21%
LYB,LyondellBasell Industries NV,$29B (Mid),Materials,Chemicals,Commodity Chemicals,88.27,S&P 500,6.31%,-5.26%,3.63%,-13.78%
PCG,PG&E Corp,$43B (Large),Utilities,Electric Utilities,Electric Utilities,17.29,S&P 500,6.33%,-6.54%,12.90%,41.14%
WM,Waste Management Inc,$68B (Large),Industrials,Commercial Services & Supplies,Environmental & Facilities Services,166.91,S&P 500,6.39%,-7.23%,-6.96%,7.49%
UDR,UDR Inc,$14B (Mid),Real Estate,Residential REITs,Multi-Family Residential REITs,41.21,S&P 500,6.40%,-3.61%,--,-10.63%
UHS,Universal Health Services Inc,$11B (Mid),Health Care,Health Care Providers & Services,Health Care Facilities,149.95,S&P 500,6.43%,-6.52%,14.12%,24.98%
APH,Amphenol Corp,$48B (Large),Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,81.05,S&P 500,6.45%,-6.01%,-2.16%,18.64%
YUM,Yum! Brands Inc,$38B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,136.34,S&P 500,6.45%,-6.11%,-10.95%,16.32%
RE,Everest Re Group Ltd,$15B (Mid),Financials,Insurance,Reinsurance,353.43,S&P 500,6.69%,-6.59%,9.78%,29.52%
CSX,CSX Corp,$67B (Large),Industrials,Ground Transportation,Rail Transportation,33.11,S&P 500,6.88%,-5.95%,3.95%,4.86%
ROP,Roper Technologies Inc,$49B (Large),Information Technology,Software,Application Software,462.02,S&P 500,6.93%,-7.12%,-32.33%,7.92%
VRSN,Verisign Inc,$23B (Mid),Information Technology,IT Services,Internet Services & Infrastructure,220.27,S&P 500,7.22%,-5.67%,-3.36%,26.32%
CSCO,Cisco Systems Inc,$208B (Large),Information Technology,Communications Equipment,Communications Equipment,51.12,S&P 500,7.30%,-6.13%,-0.34%,16.89%
ATVI,Activision Blizzard Inc,$65B (Large),Communication Services,Entertainment,Interactive Home Entertainment,82.30,S&P 500,7.51%,-7.01%,-11.48%,6.32%
LOW,Lowe's Companies Inc,$126B (Large),Consumer Discretionary,Specialty Retail,Home Improvement Retail,214.82,S&P 500,7.82%,-5.43%,7.80%,14.45%
GLW,Corning Inc,$29B (Mid),Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,34.45,S&P 500,7.86%,-5.22%,-0.75%,0.48%
CTAS,Cintas Corp,$50B (Large),Industrials,Commercial Services & Supplies,Diversified Support Services,487.27,S&P 500,7.89%,-5.26%,-5.46%,25.97%
ICE,Intercontinental Exchange Inc,$62B (Large),Financials,Capital Markets,Financial Exchanges & Data,110.68,S&P 500,7.89%,-4.67%,11.13%,10.66%
BA,Boeing Co,$124B (Large),Industrials,Aerospace & Defense,Aerospace & Defense,205.61,S&P 500,7.94%,-2.08%,9.10%,57.37%
REGN,Regeneron Pharmaceuticals Inc,$86B (Large),Health Care,Biotechnology,Biotechnology,779.81,S&P 500,8.08%,-5.07%,17.10%,18.35%
CME,CME Group Inc,$66B (Large),Financials,Capital Markets,Financial Exchanges & Data,182.10,S&P 500,8.29%,-5.02%,11.53%,-3.58%
FOX,Fox Corp,-- ,Communication Services,Media,Broadcasting,30.82,S&P 500,8.33%,--,-0.36%,-2.63%
FOXA,Fox Corp,$9B (Mid),Communication Services,Media,Broadcasting,32.90,S&P 500,8.33%,-3.89%,-0.35%,-4.26%
EIX,Edison International,$26B (Mid),Utilities,Electric Utilities,Electric Utilities,69.09,S&P 500,8.60%,-3.61%,15.17%,3.61%
MA,Mastercard Inc,$358B (Large),Financials,Financial Services,Transaction & Payment Processing Services,377.80,S&P 500,8.65%,-4.87%,4.76%,6.48%
PNW,Pinnacle West Capital Corp,$9B (Mid),Utilities,Electric Utilities,Electric Utilities,82.67,S&P 500,8.72%,-3.86%,15.29%,11.91%
EQR,Equity Residential,$24B (Mid),Real Estate,Residential REITs,Multi-Family Residential REITs,64.18,S&P 500,8.78%,-2.35%,--,-13.16%
HOLX,Hologic Inc,$20B (Mid),Health Care,Health Care Equipment & Supplies,Health Care Equipment,81.48,S&P 500,8.92%,-4.27%,-3.05%,9.15%
GM,General Motors Co,$51B (Large),Consumer Discretionary,Automobiles,Automobile Manufacturers,36.66,S&P 500,8.98%,-3.24%,-81.62%,-3.28%
BRK/B,Berkshire Hathaway Inc,-- ,Financials,Financial Services,Multi-Sector Holdings,336.96,S&P 500,9.08%,--,5.20%,7.93%
CTSH,Cognizant Technology Solutions Corp,$32B (Mid),Information Technology,IT Services,IT Consulting & Other Services,62.60,S&P 500,9.46%,-2.84%,-1.12%,-14.13%
CBOE,Cboe Global Markets Inc,$15B (Mid),Financials,Capital Markets,Financial Exchanges & Data,137.41,S&P 500,9.52%,-4.31%,12.76%,24.17%
NRG,NRG Energy Inc,$8B (Mid),Utilities,Electric Utilities,Electric Utilities,34.92,S&P 500,9.74%,-6.36%,16.31%,-20.13%
ITW,Illinois Tool Works Inc,$74B (Large),Industrials,Machinery,Industrial Machinery & Supplies & Components,241.98,S&P 500,9.84%,-2.22%,2.70%,20.46%
WMT,Walmart Inc,$419B (Large),Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,155.75,S&P 500,9.85%,-4.19%,5.84%,26.15%
OTIS,Otis Worldwide Corp,$36B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,86.07,S&P 500,9.91%,-2.29%,2.77%,18.09%
V,Visa Inc,$468B (Large),Financials,Financial Services,Transaction & Payment Processing Services,228.39,S&P 500,9.93%,-3.80%,6.05%,9.66%
TT,Trane Technologies PLC,$42B (Large),Industrials,Building Products,Building Products,184.86,S&P 500,9.98%,-2.70%,-8.71%,38.56%
IRM,Iron Mountain Inc,$16B (Mid),Real Estate,Specialized REITs,Other Specialized REITs,54.85,S&P 500,10.03%,-2.00%,--,8.84%
MSI,Motorola Solutions Inc,$48B (Large),Information Technology,Communications Equipment,Communications Equipment,283.68,S&P 500,10.08%,-4.05%,2.44%,32.58%
BALL,Ball Corp,$18B (Mid),Materials,Containers & Packaging,"Metal, Glass & Plastic Containers",56.35,S&P 500,10.19%,-4.57%,16.30%,-19.77%
EXPD,Expeditors International of Washington Inc,$18B (Mid),Industrials,Air Freight & Logistics,Air Freight & Logistics,114.60,S&P 500,10.28%,-2.07%,2.52%,7.54%
MMC,Marsh & McLennan Companies Inc,$90B (Large),Financials,Insurance,Insurance Brokers,182.62,S&P 500,10.36%,-3.71%,13.45%,18.45%
FTV,Fortive Corp,$25B (Mid),Industrials,Machinery,Industrial Machinery & Supplies & Components,70.94,S&P 500,10.41%,-2.51%,3.27%,16.09%
ORLY,O'Reilly Automotive Inc,$57B (Large),Consumer Discretionary,Specialty Retail,Automotive Retail,932.55,S&P 500,10.49%,-2.27%,10.47%,49.30%
ALLE,Allegion PLC,$10B (Mid),Industrials,Building Products,Building Products,116.39,S&P 500,10.57%,-0.22%,-8.12%,6.19%
ADSK,Autodesk Inc,$44B (Large),Information Technology,Software,Application Software,206.70,S&P 500,10.61%,-2.12%,-28.65%,-0.33%
MDLZ,Mondelez International Inc,$100B (Large),Consumer Staples,Food Products,Packaged Foods & Meats,73.74,S&P 500,10.64%,-3.49%,12.89%,20.01%
HPQ,HP Inc,$29B (Mid),Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",29.80,S&P 500,10.90%,-2.30%,--,-22.95%
AON,Aon PLC,$68B (Large),Financials,Insurance,Insurance Brokers,333.39,S&P 500,11.08%,-3.35%,14.17%,24.13%
MCK,Mckesson Corp,$57B (Large),Health Care,Health Care Providers & Services,Health Care Distributors,417.21,S&P 500,11.22%,-2.83%,18.91%,30.24%
MCD,McDonald's Corp,$214B (Large),Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,293.30,S&P 500,11.30%,-1.71%,-6.10%,20.96%
QRVO,Qorvo Inc,$10B (Mid),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,101.02,S&P 500,11.45%,-2.19%,-51.71%,-7.82%
CZR,Caesars Entertainment Inc,$10B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,46.40,"Russell 2000, S&P 500",11.54%,2.39%,-5.86%,-6.38%
